Gene_name,GSM4089641,GSM4089642,GSM4089643,GSM4089647,GSM4089648,GSM4089649
SLC2A13,3.056710105,0.302909755,2.766821989,2.842990896,2.078958171,1.68625847
SLC2A13,4.764282453,1.106026642,3.941049955,4.483976963,3.803103017,4.427767059
NIPA1,4.038681995,3.59537237,3.976317806,4.7221545,4.80727248,3.882163702
TUBA3FP,1.68771916,1.832719918,2.354768086,3.076347019,1.595460694,2.831788083
CARD16,7.212073181,7.658682781,7.602134666,5.067217066,5.821656649,5.285124751
CARD16 /// CASP1,5.759922794,6.774536707,6.139205473,4.082140524,4.984584794,4.793589004
DUSP19,3.197329155,4.502871575,4.900417631,1.254515436,2.235049968,2.669344305
DUSP19,4.116622595,4.016977613,4.213565031,2.864934913,-0.344415527,1.988168405
CYB5D1,6.485769749,6.548447414,6.264774734,5.584634852,4.306327868,4.854908267
NMNAT2,5.35812545,5.386793706,5.412977935,5.288129662,5.419764716,5.931744507
