Gene_name,GSM1342279,GSM1342280,GSM1342281,GSM1342282,GSM1342283
LOC643899,-0.00993681,0.057345867,0.002632618,0.029565334,0.12998343
SDHALP1,0.018645287,-0.0390563,0.24329853,0.000345,0.09845352
LOC646717,0.079238415,0.026909828,0.03937626,0.08325815,0.28099585
LOC649150,0.025877953,0.062199593,0.30836678,0.03189659,-0.10518646
WDFY3,-0.13184977,0.09754753,0.012417316,-0.12941885,-0.043179512
KIAA0586,0.060913086,0.23700619,0.5959263,0.41362095,0.54246616
PGBD4,0.006505013,-0.49604654,0.18491697,0.29967356,0.10725117
STK10,0.16320229,0.4278326,0.20601368,0.22503948,0.35781097
EPS8,0.17580795,0.2901373,-0.4423046,-0.72167253,-0.76039743
CAT,0.005957604,-0.012354851,-0.6881056,-0.6936083,-0.7161217
RESP18,0.10523462,-0.1225214,0.001121521,-0.037516594,-0.09027767
IQCD,0.34981632,0.25257826,-0.17760324,-0.2288003,-0.15054846
LOC728005,-0.2135334,0.19746971,-0.16651726,0.010634899,-0.069052696
RBM11,0.06820154,-0.20032406,-0.26485586,-0.366426,-0.27413177
RNF2,-0.037131786,0.00331831,0.18312216,-0.051958084,-0.03773403
ADAMTS20,0.005549431,-0.09400082,-0.002567768,-0.17749166,-0.15633869
MBTPS1,0.30568314,0.3410015,-0.63875866,-0.5891714,-0.65773964
TGOLN2,0.14195347,0.026159286,-0.028569221,0.3676672,0.24420547
LOC644689,0.03218937,0.0645566,0.18904543,0.07446337,-0.09963703
ARMCX3,-0.18515778,-0.14574623,0.07969856,-0.09771633,-0.09303284
TMEM25,-0.6685958,-0.3459401,-0.22878551,-0.38032055,-0.37350845
CXorf21,-0.2522397,-0.22076035,0.99184847,-0.060967445,-0.3110304
LOC645643,-0.015322685,0.20643377,0.029281616,-0.1572504,0.07976055
LOC646537,-0.11329508,-0.11277151,-0.13440657,-0.025732517,0.030629635
TFDP3,0.20446396,0.0958724,-0.18350315,-0.011588097,-0.03728342
MKL1,-0.06604195,0.3354168,0.37818336,0.06297016,0.34003258
ZFYVE16,0.088415146,0.13530636,-0.18118572,0.03087616,0.080801964
RRAGB,-0.049353123,-0.20628977,0.16028738,-0.25113392,-0.025968552
FHOD1,0.7371912,0.7218332,-0.33776855,-0.15437412,-0.21410084
MSH5,-0.29416466,-0.1268382,0.12016535,0.3088293,0.2812643
MAP3K11,0.252079,0.35577393,-0.5785613,-0.46174622,-0.79102707
RORC,0.043275833,0.1794262,-0.092618465,-0.30382156,0.07228422
SLC38A2,-0.9710064,-0.84491444,-0.57953453,-0.8260126,-0.7375488
GSTM4,0.6285486,0.32605124,-0.46967363,-0.57495785,-0.36063528
LOC653801,0.09147167,0.037967682,-0.2849369,0.016454697,0.11734676
LOC729269,0.066223145,-0.004685402,0.21743774,0.079576015,0.31186056
GRIK1,-0.32678843,-0.44870186,-0.3509283,-0.35435677,-0.33305836
BASP1,0.280818,-0.03271103,1.2659044,1.3361778,1.184351
EHD1,0.31078815,0.20573997,0.52369213,0.5057068,0.7074261
RND1,1.0115051,0.9569683,-0.08963299,-0.33838844,-0.22972536
LOC400954,0.27015924,0.046187878,-0.058948994,0.19347191,-0.07926369
ITSN1,0.1896615,0.13167381,-0.081278324,-0.19193172,-0.05143404
RPS16,-0.017124176,-0.033501625,0.027528763,-0.048286438,-0.3116064
KIAA1257,-0.00662899,-0.15638638,0.16108322,0.06374359,-0.059779167
UBIAD1,-0.4509039,-0.85516644,0.053287506,0.20253277,0.11935043
EVC,0.3986082,0.01804638,0.09106588,-0.046699524,-0.017856598
KCNA4,-0.07488489,-0.04485607,-0.16588402,0.11700106,-0.21916771
RASL11A,0.8836155,1.0444555,-0.49105167,-0.42170286,-0.36058807
LOC645669,0.026431084,0.12899065,-0.119227886,0.291389,0.1926322
ZNF187,-0.3788576,0.031055927,0.1451559,0.14342594,0.10777235
LOC651357,0.41702843,-0.069107056,-0.07265186,-0.23000813,0.014989853
OCLN,0.006037712,-0.21211195,0.17329359,0.2542405,0.34463692
SETD8,0.116233826,0.371233,0.26084042,0.4484663,0.26143074
LOC649652,-0.00231266,-0.055653095,0.18902302,0.26166677,-0.17957067
OR6C76,-0.10193205,-0.21943521,0.03310728,0.2479968,0.027040005
ANK3,-1.0478225,-0.8542175,-0.9136486,-0.955369,-0.7993231
CTNND1,0.13392782,0.082164764,0.06445789,-0.2317295,-0.024277687
