Gene_name,GSM368877,GSM368878,GSM368879,GSM368880,GSM368881,GSM368882,GSM368883,GSM368884,GSM368885,GSM368886,GSM368887,GSM368888,GSM368889,GSM368890
RBJ,0.315609531,0.731994849,-0.755806001,-0.619992655,-4.020022444,-1.355159922,0.84449864,-0.600185269,0.514113882,0.47472196,0.312644321,-4.020022444,0.463767139,0.47367332
TRIM3,-4.23247467,-2.554711061,-4.23247467,-4.23247467,-0.910353627,0.314061001,-0.125766224,-3.443382932,-3.260128488,-3.60400959,-2.125105249,0.462856991,2.234016845,0.607205948
PPP2R1A,-0.29231732,-0.216870723,-0.137608733,-0.281789215,-0.176507617,0.288805826,0.206203011,-0.337740277,-0.280435952,-0.301613333,-0.180230587,-0.248527317,0.59425365,0.477612194
UBE2I,0.400454993,0.335469841,0.408031135,0.55680419,-0.646453131,-0.485786444,-1.30367331,0.202621577,0.282773522,0.374521632,0.370118573,-0.859078782,-0.410503391,-0.952851937
RAB34,-2.351896444,-1.692324063,-0.741436274,-0.735242409,1.418746921,0.94155606,0.137477627,-1.536679452,-1.502509395,-2.253770062,-1.124769189,-4.768684399,0.700085193,1.531345089
NFYC,0.141422003,0.022809429,-0.029766556,-0.032111618,-1.516757077,-0.4703221,0.552154829,0.132197451,0.066382045,0.108052272,0.362384139,-1.018239335,-0.55973437,-0.089308669
KIAA0446,-0.148612645,-0.504276782,0.084203947,-0.236427746,0.044137426,-0.428512989,-0.342918339,0.181643517,0.053341728,-0.036441227,1.096356283,-2.181922272,0.213286243,-0.320511687
DRG2,0.144034843,0.194953048,0.129442777,0.336354659,0.900605844,0.35724087,-0.643636575,-0.082418562,-0.246222556,0.042224595,0.053217297,-0.244930632,-0.052583671,-0.299751448
CAV3,-0.692898006,0.595278886,-0.077342266,-0.317784925,-1.060646471,0.566601691,1.671785552,0.433248036,-0.886419841,-1.060646471,0.32627688,-0.501428172,-1.060646471,0.511999191
SLC6A15,0.116067457,0.335720993,-0.079630712,0.621306074,0.61290006,0.677934977,-0.633212743,-0.166738135,-0.185049054,0.461926452,-0.569910799,-1.579682547,0.56508968,-0.29253018
SDK1,-1.294520252,-1.294520252,-1.294520252,-1.294520252,3.78299328,-1.294520252,-1.294520252,-1.294520252,-1.294520252,-1.294520252,-1.294520252,0.478097841,-1.294520252,-1.294520252
BAIAP3,0,0,0,0,0.810334101,0,0,0,0,0,0,4.329429957,0,0
RHOQ,-2.877541254,-4.09390777,-1.305071954,-3.642652003,-5.403142935,0.994413773,1.901033346,-0.882664505,-1.475031668,-2.503219159,-0.445255218,1.384556671,-0.53451162,1.385965059
P8,-4.242256574,-3.548147656,-5.083307808,-3.446672598,-5.046942309,1.752456145,0.842152229,-4.80055552,-3.991926487,-3.894708696,-3.943809141,2.230074298,-1.347559413,0.705177177
IL1R1,-2.683162249,-2.192577303,-2.910047593,-2.918874327,-4.490527476,0.869543087,0.307736938,-3.276556976,-2.370057749,-2.352245844,-1.810826415,-4.490527476,-1.406157011,1.215001068
TCEB3C,0,0,0,0,3.882759805,0.565555137,0,0,0,0,0,2.662780868,0,0
FLJ32312,0.646404831,0.880809759,0.81075338,0.823781349,-2.19047239,-2.19047239,-2.19047239,0.290594653,0.517619638,0.935616677,0.195116024,-2.19047239,-2.19047239,-2.19047239
LRRC7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELMOD1,-3.526120079,-3.526120079,-3.526120079,-3.512791822,3.291559932,-3.526120079,-1.309488089,-3.526120079,-3.526120079,-3.526120079,-3.526120079,2.428889409,-3.177158988,-3.231328055
KIAA0367,-3.491524656,-4.27575908,-2.819810877,-2.214461753,0.430296308,-2.31138572,2.782742035,-2.126986805,-2.624524377,-1.503868041,-0.227412487,-1.6704386,-1.974655601,2.254524873
REXO1L1,-0.201053197,-0.201053197,-0.201053197,-0.201053197,3.947889548,-0.201053197,0.613279832,-0.201053197,-0.201053197,-0.201053197,-0.201053197,-0.201053197,-0.201053197,-0.201053197
F9,-3.610708861,-3.610708861,-3.610708861,-3.610708861,2.565782219,-2.22457494,-3.610708861,-3.610708861,-3.610708861,-3.610708861,-3.610708861,3.157954352,-3.610708861,-3.610708861
STXBP1,-0.841340941,-0.841340941,-0.841340941,-0.841340941,3.283202258,-0.093463237,-0.841340941,-0.841340941,-0.841340941,-0.841340941,-0.370848327,1.915728989,-0.841340941,-0.841340941
TINAG,0.287627431,0,0.83119271,0.817213924,0,2.357309541,0,0.472234303,0,0,0,0,0,0
ADCY2,0.601178989,0.53184357,0.622988128,0.881480942,-2.837550498,-0.781016606,0.354499627,0.394233248,0.096423358,0.426665945,-0.17889342,-2.837550498,-0.645709749,-1.073208059
ARHGEF12,0.267992992,0.177057492,-0.35632662,-0.390992869,-2.284680839,0.175939668,1.197143379,-0.217387072,-0.374214574,-0.29937272,-0.573465263,-0.470989918,0.49875267,0.97328231
GFRA3,-2.788147335,-2.788147335,-2.788147335,-2.788147335,3.588632492,-1.862895559,-2.788147335,-2.788147335,-2.788147335,-2.788147335,-2.788147335,2.139949644,-2.788147335,-2.607767107
C1ORF24,-1.635635905,-0.759783503,-1.138046033,-1.767720695,-6.662786362,-3.120790715,-0.841720829,0.466907507,-0.745872974,-1.453602796,1.071160223,-1.586945715,-0.412143302,-0.107226129
LOC283130,-0.351890477,-0.056058569,-0.214318622,-0.268565805,-0.664758191,-2.65803087,-0.882880814,-0.293197837,-0.075254259,-0.037775481,0.020321708,2.301453531,-0.791552287,-1.242488787
UBL3,-1.151101874,-1.3732927,-0.287657265,-1.316933797,0.608128958,-0.398012568,1.371653992,-0.128149968,-0.471312339,-0.819133541,-0.468700695,-1.056439278,0.416564013,0.851007636
